Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-May-2025,1569.95,1583.75,1562.35,1580.40,1578.167122174619589304,216608,6668,341843624.00,95429,44.06,21.40,10.45
23-May-2025,1550.00,1586.50,1549.25,1564.50,1576.513598542991496722,328344,11155,517638781.00,142758,43.48,37.25,14.50
22-May-2025,1562.00,1562.00,1540.05,1549.20,1551.645112704557213714,369151,12874,572791345.00,262231,71.04,21.95,-12.80
21-May-2025,1561.65,1570.00,1552.15,1568.10,1566.170991698290670864,153101,5664,239782345.00,90810,59.31,17.85,6.45
20-May-2025,1567.00,1583.00,1558.30,1560.40,1567.377521694678569647,320816,14747,502839787.00,52080,16.23,24.70,-6.60
19-May-2025,1583.95,1583.95,1555.00,1559.15,1566.394780716030302955,402469,11775,630425341.00,181678,45.14,28.95,-24.80
16-May-2025,1614.20,1614.20,1581.30,1589.75,1590.812280480869002704,230333,12414,366416565.00,85811,37.26,32.90,-24.45
15-May-2025,1592.35,1618.85,1571.20,1613.25,1600.636779200130089526,332079,16918,531537861.00,161475,48.63,47.65,20.90
14-May-2025,1575.00,1594.15,1570.00,1592.60,1588.740490042515104050,196636,9233,312403575.00,106098,53.96,24.15,17.60
13-May-2025,1619.60,1619.60,1564.95,1569.10,1578.137487626917397185,435421,13547,687154203.00,213530,49.04,54.65,-50.50
12-May-2025,1535.25,1632.00,1534.05,1626.70,1580.075713111480096258,302933,10553,478657076.00,93233,30.78,97.95,91.45
9-May-2025,1491.20,1511.00,1491.20,1507.45,1503.198490377142254949,75913,3131,114112307.00,44339,58.41,19.80,16.25
8-May-2025,1509.95,1516.40,1501.35,1511.25,1508.955829466187160096,170453,7751,257206048.00,90537,53.12,15.05,1.30
7-May-2025,1501.30,1518.75,1495.05,1508.50,1508.137307453075262522,109324,3869,164875603.00,49718,45.48,23.70,7.20
6-May-2025,1509.00,1515.50,1499.10,1511.30,1510.118543339444901055,94902,3665,143313270.00,57886,61.00,16.40,2.30
5-May-2025,1507.35,1522.45,1502.75,1507.70,1512.131315998637447484,105684,3653,159808086.00,67948,64.29,19.70,0.35
2-May-2025,1504.95,1523.70,1496.40,1506.45,1510.089798773270203378,92930,5510,140332645.00,39022,41.99,27.30,1.50
30-April-2025,1497.40,1508.00,1486.00,1498.90,1500.548533147758428426,119269,4233,178968923.00,61696,51.73,22.00,1.50
29-April-2025,1482.20,1509.60,1474.50,1497.40,1491.329356566682975173,398565,19745,594391685.00,196864,49.39,35.10,15.20
28-April-2025,1483.00,1488.70,1465.30,1482.20,1477.710621506701123865,532448,19955,786804065.00,382206,71.78,23.40,-0.80
25-April-2025,1474.10,1501.50,1464.00,1480.20,1484.163283972678729467,236153,8768,350489612.00,101477,42.97,37.50,6.10
24-April-2025,1474.75,1483.00,1461.15,1471.30,1469.732903398418121923,179407,5968,263680371.00,118478,66.04,21.85,-3.45
23-April-2025,1447.35,1487.85,1441.55,1474.85,1471.624651303820497271,329800,9413,485341810.00,130213,39.48,46.30,27.50
22-April-2025,1448.95,1448.95,1419.60,1422.40,1425.470895756700115125,391747,12926,558423947.00,213934,54.61,29.35,-26.55
21-April-2025,1409.00,1471.50,1409.00,1450.45,1450.616073432645394511,592543,20729,859552400.00,238622,40.27,62.50,41.45
17-April-2025,1404.85,1429.40,1378.60,1420.20,1396.359149780249698572,771330,23993,1077053703.00,480760,62.33,50.80,15.35
16-April-2025,1429.95,1429.95,1396.95,1413.00,1412.110083527031805192,345038,18364,487231639.00,199031,57.68,33.00,-16.95
15-April-2025,1440.40,1447.00,1409.10,1427.25,1423.327799856056576024,383484,16746,545823438.00,221545,57.77,37.90,-13.15
11-April-2025,1414.65,1438.55,1397.65,1410.60,1421.249420348601540332,493400,18110,701244464.00,266598,54.03,40.90,-4.05
9-April-2025,1408.20,1408.20,1381.35,1404.20,1394.304926617567701089,263142,16382,366900187.00,167508,63.66,26.85,-4.00
8-April-2025,1427.00,1456.50,1415.00,1429.30,1436.983918044295702182,415932,18641,597687595.00,116179,27.93,41.50,2.30
7-April-2025,1350.00,1406.85,1307.10,1397.80,1361.767448589360191422,1050658,50183,1430751864.00,584310,55.61,99.75,47.80
4-April-2025,1466.95,1472.00,1448.00,1452.30,1460.051752241238793806,353376,25682,515947248.00,193774,54.84,24.00,-14.65
3-April-2025,1522.90,1530.00,1485.10,1497.00,1499.304080158627409562,293518,14229,440072735.00,169916,57.89,44.90,-25.90
2-April-2025,1531.50,1555.50,1531.50,1549.85,1547.105368156440910818,136844,7745,211712087.00,65727,48.03,24.00,18.35
1-April-2025,1535.10,1547.70,1518.00,1527.50,1529.650663704317373048,265555,13575,406206382.00,111285,41.91,29.70,-7.60
