Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-August-2025,1440.00,1499.00,1439.90,1495.85,1478.220061620988482137,353451,15767,522478359.00,202711,57.35,59.10,55.85
19-August-2025,1434.50,1449.70,1434.50,1440.00,1443.768481739524477108,564936,15991,815636791.00,332541,58.86,15.20,5.50
18-August-2025,1468.45,1468.45,1429.65,1435.60,1440.737304902176302484,86431,4181,124524366.00,39297,45.47,38.80,-32.85
14-August-2025,1427.85,1470.00,1427.40,1447.45,1453.691187177976988252,215629,7892,313457977.00,68751,31.88,42.60,19.60
13-August-2025,1428.95,1434.00,1422.20,1426.00,1426.918962590122935716,317483,8675,453022513.00,120297,37.89,11.80,-2.95
12-August-2025,1429.80,1441.00,1421.15,1424.10,1427.431392584708178108,704625,14478,1005803845.00,382156,54.24,19.85,-5.70
11-August-2025,1420.00,1433.20,1414.50,1428.00,1424.482153942840500624,130477,9205,185862158.00,65957,50.55,18.70,8.00
8-August-2025,1428.95,1433.35,1417.05,1423.65,1424.265903223671145826,317247,16554,451844085.00,230315,72.60,16.30,-5.30
7-August-2025,1435.00,1442.70,1414.55,1437.65,1426.014685940898042727,195425,6380,278678920.00,142654,73.00,28.15,2.65
6-August-2025,1455.70,1455.70,1430.30,1435.75,1442.143741495892061447,96277,5059,138845273.00,48781,50.67,25.40,-19.95
5-August-2025,1475.20,1479.90,1454.75,1459.75,1459.619630203382032924,491243,8755,717027926.00,406000,82.65,25.15,-15.45
4-August-2025,1466.00,1482.50,1451.20,1480.35,1465.294253967597094911,144987,10425,212448618.00,74200,51.18,31.30,14.35
1-August-2025,1496.95,1498.75,1466.10,1470.60,1480.074784085331069159,150754,8360,223127194.00,71262,47.27,32.65,-26.35
31-July-2025,1507.55,1526.70,1497.10,1508.60,1509.479711123811503091,827621,11605,1249277108.00,152157,18.38,29.60,1.05
30-July-2025,1510.05,1521.50,1505.70,1519.05,1514.760838434938124151,159917,6779,242236009.00,97275,60.83,15.80,9.00
29-July-2025,1510.45,1517.20,1496.60,1513.85,1508.002124921964072698,341189,19794,514513737.00,155279,45.51,20.60,3.40
28-July-2025,1518.95,1519.35,1482.70,1516.10,1507.091442541084369656,287153,16177,432765829.00,119766,41.71,36.65,-2.85
25-July-2025,1543.00,1549.75,1511.35,1515.60,1524.514145077720207253,463200,30329,706154952.00,311786,67.31,38.40,-27.40
24-July-2025,1581.00,1581.00,1548.20,1553.55,1557.835767508041587434,380211,14311,592306295.00,204316,53.74,32.80,-27.45
23-July-2025,1579.80,1592.40,1551.00,1574.40,1580.209371456207057567,239856,11330,379022699.00,147472,61.48,41.40,-5.40
22-July-2025,1579.95,1585.60,1567.00,1570.10,1573.594002789156236493,571499,21780,899307399.00,296822,51.94,18.60,-9.85
21-July-2025,1579.15,1589.00,1568.25,1584.60,1578.985266285941961617,120472,7358,190223513.00,61540,51.08,20.75,5.45
18-July-2025,1588.05,1599.00,1579.90,1586.55,1587.568345927110303089,369627,3592,586808125.00,84023,22.73,19.10,-1.50
17-July-2025,1608.55,1609.75,1580.50,1582.70,1594.151209791130078396,159573,6868,254383491.00,104917,65.75,29.25,-25.85
16-July-2025,1580.00,1612.10,1579.80,1608.60,1600.612091966138542112,60718,3183,97185965.00,24808,40.86,32.30,28.60
15-July-2025,1565.00,1603.80,1565.00,1584.80,1585.327064281572021233,896680,16746,1421531072.00,155802,17.38,38.80,19.80
14-July-2025,1589.20,1593.95,1560.00,1570.45,1590.468722149988406871,1462073,16995,2325381376.00,1356794,92.80,33.95,-18.75
11-July-2025,1579.00,1606.95,1563.25,1594.90,1591.384605357672776488,360567,14388,573800773.00,200302,55.55,43.70,15.90
10-July-2025,1637.00,1637.00,1607.55,1616.75,1617.217378913688355765,771970,6713,1248443300.00,103032,13.35,29.45,-20.25
9-July-2025,1638.65,1638.65,1624.00,1633.90,1630.763647588411578423,400089,9116,652450597.00,351280,87.80,14.65,-4.75
8-July-2025,1628.20,1646.90,1621.10,1638.65,1636.142160835963782674,549019,14124,898273133.00,123730,22.54,25.80,10.45
7-July-2025,1640.00,1642.40,1623.05,1627.50,1634.077002953664389883,173344,5459,283257444.00,129058,74.45,19.35,-12.50
